From	To
Q8NFJ5	9606.ENSP00000014914
O95905	9606.ENSP00000401566
Q4G0N4	9606.ENSP00000371362
Q05048	9606.ENSP00000217109
O75083	9606.ENSP00000427687
Q9HCU5	9606.ENSP00000260643
P50990	9606.ENSP00000286788
P13073	9606.ENSP00000457513
Q8N3R9	9606.ENSP00000261681
Q9UNE7	9606.ENSP00000219548
Q9BXS5	9606.ENSP00000388996
O75312	9606.ENSP00000227322
Q9NY15	9606.ENSP00000312946
Q92973	9606.ENSP00000336712
O00391	9606.ENSP00000356574
Q8N8A6	9606.ENSP00000380495
Q9BSH5	9606.ENSP00000238379
O75030	9606.ENSP00000295600
P01130	9606.ENSP00000454071
Q712K3	9606.ENSP00000263228
Q9HCE1	9606.ENSP00000399797
Q9HCK1	9606.ENSP00000363545
Q9UKX5	9606.ENSP00000327290
Q9Y6X4	9606.ENSP00000373808
P62266	9606.ENSP00000296674
Q96C86	9606.ENSP00000263579
Q6UVK1	9606.ENSP00000312506
P98175	9606.ENSP00000328848
Q13310	9606.ENSP00000361949
P50995	9606.ENSP00000398610
Q9Y3E7	9606.ENSP00000405575
Q9UI10	9606.ENSP00000394869
Q4G0I0	9606.ENSP00000413100
Q13077	9606.ENSP00000362994
Q9Y2L5	9606.ENSP00000283351
Q96CS3	9606.ENSP00000261942
Q9UHR6	9606.ENSP00000308548
Q03519	9606.ENSP00000364034
O00161	9606.ENSP00000249647
Q12860	9606.ENSP00000447006
P51617	9606.ENSP00000358997
Q02543	9606.ENSP00000222247
Q9UER7	9606.ENSP00000363668
Q9UMD9	9606.ENSP00000340937
Q96EE3	9606.ENSP00000382779
Q14693	9606.ENSP00000397908
Q7L1W4	9606.ENSP00000338887
Q8NF50	9606.ENSP00000394888
P11836	9606.ENSP00000433277
P14410	9606.ENSP00000264382
Q02388	9606.ENSP00000332371
O60216	9606.ENSP00000297338
Q9NSC5	9606.ENSP00000439937
P19823	9606.ENSP00000351190
Q53GS9	9606.ENSP00000312981
P02675	9606.ENSP00000306099
Q15475	9606.ENSP00000247182
Q8IXB1	9606.ENSP00000264065
Q9H4I3	9606.ENSP00000305664
Q96GA3	9606.ENSP00000356548
P10155	9606.ENSP00000356416
P43034	9606.ENSP00000380378
Q96RL1	9606.ENSP00000366434
P22830	9606.ENSP00000372326
O95861	9606.ENSP00000446828
Q7KZ85	9606.ENSP00000319104
P32320	9606.ENSP00000364212
Q92615	9606.ENSP00000482767
Q05209	9606.ENSP00000248594
P08473	9606.ENSP00000418525
Q14114	9606.ENSP00000303634
P08237	9606.ENSP00000345771
P28062	9606.ENSP00000364016
P82933	9606.ENSP00000258455
O00712	9606.ENSP00000370340
Q9H977	9606.ENSP00000006526
P40925	9606.ENSP00000438144
Q9UHW5	9606.ENSP00000442770
O43765	9606.ENSP00000221566
Q6PI48	9606.ENSP00000355086
Q14562	9606.ENSP00000262415
P62191	9606.ENSP00000261303
O43390	9606.ENSP00000363745
Q7Z6E9	9606.ENSP00000317872
Q9P2R3	9606.ENSP00000459943
Q8TCF1	9606.ENSP00000220669
P34059	9606.ENSP00000268695
Q99759	9606.ENSP00000354927
Q96SI9	9606.ENSP00000415968
Q9Y5X2	9606.ENSP00000222990
O14672	9606.ENSP00000260408
Q16822	9606.ENSP00000216780
O75879	9606.ENSP00000263985
O60637	9606.ENSP00000267970
Q96CP2	9606.ENSP00000380159
Q04656	9606.ENSP00000345728
Q9H6T3	9606.ENSP00000005386
Q15424	9606.ENSP00000467423
P51531	9606.ENSP00000265773
Q8IYT3	9606.ENSP00000239374
Q9Y2L1	9606.ENSP00000366997
P16949	9606.ENSP00000410452
Q4G0J3	9606.ENSP00000422626
Q32P41	9606.ENSP00000261249
Q16222	9606.ENSP00000356903
O60503	9606.ENSP00000294016
P12277	9606.ENSP00000299198
O14908	9606.ENSP00000376753
O14879	9606.ENSP00000360883
Q9NUP9	9606.ENSP00000278193
O76094	9606.ENSP00000342181
O75886	9606.ENSP00000263904
Q15796	9606.ENSP00000262160
P48637	9606.ENSP00000216951
Q15435	9606.ENSP00000234038
Q96T23	9606.ENSP00000311513
O75223	9606.ENSP00000275428
Q12846	9606.ENSP00000317714
P56377	9606.ENSP00000444957
P61966	9606.ENSP00000336666
Q9BY44	9606.ENSP00000417229
Q9Y4A5	9606.ENSP00000352925
Q6IPU0	9606.ENSP00000364737
Q9Y6M1	9606.ENSP00000371634
Q86X76	9606.ENSP00000356988
P18077	9606.ENSP00000419117
Q9GZP9	9606.ENSP00000158771
Q9BR76	9606.ENSP00000377471
Q9ULV4	9606.ENSP00000394496
P60520	9606.ENSP00000037243
Q9ULC5	9606.ENSP00000348429
Q7L2E3	9606.ENSP00000405620
P07339	9606.ENSP00000236671
O15355	9606.ENSP00000342778
P49593	9606.ENSP00000263212
O00291	9606.ENSP00000336747
P49750	9606.ENSP00000324463
Q9UH03	9606.ENSP00000379704
Q96EY7	9606.ENSP00000254630
P15121	9606.ENSP00000285930
P04035	9606.ENSP00000287936
Q8TB37	9606.ENSP00000281081
P07148	9606.ENSP00000295834
P28066	9606.ENSP00000271308
P18887	9606.ENSP00000262887
Q9NXW2	9606.ENSP00000345575
Q9Y697	9606.ENSP00000363205
O00410	9606.ENSP00000261574
P01023	9606.ENSP00000323929
P80404	9606.ENSP00000379845
Q9Y5L0	9606.ENSP00000265388
O60343	9606.ENSP00000366863
P28070	9606.ENSP00000290541
Q9H6Y2	9606.ENSP00000351100
P21926	9606.ENSP00000371958
O14980	9606.ENSP00000384863
P23471	9606.ENSP00000377047
Q53H47	9606.ENSP00000373354
Q86VS8	9606.ENSP00000305699
Q9ULH1	9606.ENSP00000429900
Q6E0U4	9606.ENSP00000342012
O75976	9606.ENSP00000225719
Q12765	9606.ENSP00000388942
Q9BQ39	9606.ENSP00000362687
P41235	9606.ENSP00000312987
P62081	9606.ENSP00000339095
P28702	9606.ENSP00000363817
Q6YP21	9606.ENSP00000260508
Q9Y646	9606.ENSP00000220763
Q14240	9606.ENSP00000326381
Q9NYL4	9606.ENSP00000449751
Q9BW27	9606.ENSP00000245544
P19087	9606.ENSP00000251337
P37268	9606.ENSP00000480828
P21980	9606.ENSP00000355330
P09496	9606.ENSP00000242285
P02794	9606.ENSP00000273550
Q9NVP1	9606.ENSP00000263239
Q8WWK9	9606.ENSP00000367276
Q9BXI6	9606.ENSP00000384996
Q8WV22	9606.ENSP00000355077
P49023	9606.ENSP00000267257
Q3LXA3	9606.ENSP00000378360
P05230	9606.ENSP00000480791
P09038	9606.ENSP00000264498
Q8NBF2	9606.ENSP00000358307
Q9NQH7	9606.ENSP00000349658
Q9BTY2	9606.ENSP00000002165
Q9Y6D9	9606.ENSP00000385334
Q92572	9606.ENSP00000325369
P61923	9606.ENSP00000449270
Q8WYP5	9606.ENSP00000355465
P09960	9606.ENSP00000228740
Q12904	9606.ENSP00000378191
O95718	9606.ENSP00000422488
Q86TI0	9606.ENSP00000261439
P40763	9606.ENSP00000264657
P40616	9606.ENSP00000261636
P52657	9606.ENSP00000379372
Q9Y263	9606.ENSP00000380460
P08133	9606.ENSP00000346550
P51114	9606.ENSP00000350170
Q8NFV4	9606.ENSP00000222800
Q07960	9606.ENSP00000310491
P60900	9606.ENSP00000261479
Q92945	9606.ENSP00000381216
Q71RC2	9606.ENSP00000381490
Q15717	9606.ENSP00000385269
Q14157	9606.ENSP00000389445
Q9Y5Y0	9606.ENSP00000355938
Q9NY93	9606.ENSP00000258772
O95154	9606.ENSP00000355377
O60869	9606.ENSP00000224073
Q02878	9606.ENSP00000403172
O60292	9606.ENSP00000222345
Q16513	9606.ENSP00000359552
P10451	9606.ENSP00000378517
Q08752	9606.ENSP00000303754
Q9UHX1	9606.ENSP00000434359
Q9NP58	9606.ENSP00000265316
Q68CQ4	9606.ENSP00000419005
O95628	9606.ENSP00000445508
Q9H0E2	9606.ENSP00000314733
Q9P273	9606.ENSP00000424226
Q15326	9606.ENSP00000381053
O43242	9606.ENSP00000264639
Q99614	9606.ENSP00000231238
Q9UJX3	9606.ENSP00000394394
Q9BT78	9606.ENSP00000264389
P54252	9606.ENSP00000478320
Q6ZS30	9606.ENSP00000399903
Q9H7N4	9606.ENSP00000353769
Q9Y375	9606.ENSP00000260361
Q96E11	9606.ENSP00000343867
P19338	9606.ENSP00000318195
Q7LBC6	9606.ENSP00000326563
Q6PJT7	9606.ENSP00000251038
P07951	9606.ENSP00000367542
O94818	9606.ENSP00000261592
P30153	9606.ENSP00000324804
Q9Y4I1	9606.ENSP00000382177
P19835	9606.ENSP00000361151
Q8N6H7	9606.ENSP00000434442
Q9NP61	9606.ENSP00000263245
Q8N684	9606.ENSP00000345412
Q12923	9606.ENSP00000394794
Q5KU26	9606.ENSP00000383115
Q14181	9606.ENSP00000265465
Q9H2J4	9606.ENSP00000264254
Q969Z0	9606.ENSP00000258770
Q7Z739	9606.ENSP00000478490
Q9Y2R4	9606.ENSP00000479504
P35249	9606.ENSP00000376272
Q9H0S4	9606.ENSP00000350698
P83731	9606.ENSP00000377640
P14866	9606.ENSP00000221419
Q15366	9606.ENSP00000352438
Q15365	9606.ENSP00000305556
Q9NYV4	9606.ENSP00000398880
Q9C075	9606.ENSP00000209718
Q13642	9606.ENSP00000377710
Q99598	9606.ENSP00000355599
P84022	9606.ENSP00000332973
Q9NYU2	9606.ENSP00000259253
Q96PZ0	9606.ENSP00000348722
Q9NQZ2	9606.ENSP00000254803
Q9Y678	9606.ENSP00000325002
Q13112	9606.ENSP00000315700
Q9BUL9	9606.ENSP00000317691
Q9Y5M8	9606.ENSP00000418401
Q08426	9606.ENSP00000231887
Q68CP9	9606.ENSP00000335044
O14776	9606.ENSP00000296702
Q9Y2K7	9606.ENSP00000432786
Q15102	9606.ENSP00000444935
O43324	9606.ENSP00000369038
Q03701	9606.ENSP00000234170
Q6PHR2	9606.ENSP00000400312
Q9BRR8	9606.ENSP00000170564
Q9ULT8	9606.ENSP00000382269
Q96P70	9606.ENSP00000354742
Q9UH65	9606.ENSP00000315630
P04179	9606.ENSP00000446252
Q15118	9606.ENSP00000376352
O14639	9606.ENSP00000277895
O00232	9606.ENSP00000348442
Q9BZJ0	9606.ENSP00000366557
Q9Y6K1	9606.ENSP00000264709
Q96RP9	9606.ENSP00000419038
P40938	9606.ENSP00000369411
P21964	9606.ENSP00000354511
P28074	9606.ENSP00000355325
Q15018	9606.ENSP00000298492
P38646	9606.ENSP00000297185
Q96DE0	9606.ENSP00000422375
Q99798	9606.ENSP00000216254
P54687	9606.ENSP00000443459
O75844	9606.ENSP00000361845
P08397	9606.ENSP00000278715
Q9NTJ3	9606.ENSP00000349961
Q9Y2D5	9606.ENSP00000363654
Q7Z4S6	9606.ENSP00000354878
P00813	9606.ENSP00000361965
Q00796	9606.ENSP00000267814
P38606	9606.ENSP00000273398
P20340	9606.ENSP00000311449
P49756	9606.ENSP00000261973
P55081	9606.ENSP00000267812
P11021	9606.ENSP00000324173
P26038	9606.ENSP00000353408
Q9UBU9	9606.ENSP00000436679
P21589	9606.ENSP00000257770
P04080	9606.ENSP00000291568
P07093	9606.ENSP00000415786
P54289	9606.ENSP00000349320
Q15185	9606.ENSP00000482075
O95678	9606.ENSP00000252245
P62888	9606.ENSP00000428085
O60313	9606.ENSP00000354681
P05412	9606.ENSP00000360266
P16422	9606.ENSP00000263735
Q969S9	9606.ENSP00000296805
Q96EV8	9606.ENSP00000341680
P78324	9606.ENSP00000382941
P40855	9606.ENSP00000357051
Q6P9B6	9606.ENSP00000343635
P00367	9606.ENSP00000277865
P49448	9606.ENSP00000327589
P61313	9606.ENSP00000309334
P62826	9606.ENSP00000446215
Q14242	9606.ENSP00000228463
Q9NT62	9606.ENSP00000283290
P27635	9606.ENSP00000413436
Q8NC51	9606.ENSP00000360034
P27105	9606.ENSP00000286713
P05362	9606.ENSP00000264832
O75521	9606.ENSP00000369461
P07108	9606.ENSP00000439012
Q9H9B4	9606.ENSP00000316905
Q9NRX4	9606.ENSP00000247665
Q9UMX5	9606.ENSP00000355955
P53007	9606.ENSP00000215882
Q8N3C0	9606.ENSP00000358159
P39019	9606.ENSP00000470972
O15511	9606.ENSP00000294742
P16401	9606.ENSP00000330074
Q5BKU9	9606.ENSP00000363873
Q01650	9606.ENSP00000261622
P10746	9606.ENSP00000357787
Q96GK7	9606.ENSP00000233379
Q6P2I3	9606.ENSP00000410470
P26022	9606.ENSP00000295927
O15240	9606.ENSP00000249330
Q96IV0	9606.ENSP00000280700
Q96ER3	9606.ENSP00000432487
O43156	9606.ENSP00000362547
O43314	9606.ENSP00000482907
Q9HAV7	9606.ENSP00000264954
P52888	9606.ENSP00000304467
Q9BS26	9606.ENSP00000262455
Q9H501	9606.ENSP00000202816
Q9BQE5	9606.ENSP00000249066
P61225	9606.ENSP00000319096
Q15382	9606.ENSP00000262187
Q7L4I2	9606.ENSP00000330188
O15213	9606.ENSP00000363746
Q8WVX9	9606.ENSP00000346874
Q15643	9606.ENSP00000267622
O43815	9606.ENSP00000263918
Q13033	9606.ENSP00000350071
Q8WXA9	9606.ENSP00000334538
Q6PL18	9606.ENSP00000287394
Q9NSK0	9606.ENSP00000259708
Q8WUT4	9606.ENSP00000368135
Q8TCG1	9606.ENSP00000295746
Q9GZR2	9606.ENSP00000361010
Q8TER5	9606.ENSP00000298694
Q9BZF9	9606.ENSP00000314556
P17098	9606.ENSP00000477716
Q96PU4	9606.ENSP00000276893
Q96T88	9606.ENSP00000479617
Q9P0U3	9606.ENSP00000394791
Q9H497	9606.ENSP00000356599
Q8NB90	9606.ENSP00000274008
Q9H313	9606.ENSP00000365714
Q96A65	9606.ENSP00000253861
Q9NZ43	9606.ENSP00000263897
O60318	9606.ENSP00000380820
Q8NBS9	9606.ENSP00000369081
P51178	9606.ENSP00000430344
Q68BL7	9606.ENSP00000362682
Q9NR77	9606.ENSP00000321271
Q9HD20	9606.ENSP00000349877
Q16763	9606.ENSP00000264552
Q6DD88	9606.ENSP00000381844
Q9BUI4	9606.ENSP00000334564
Q9BZQ8	9606.ENSP00000356481
P27987	9606.ENSP00000411152
Q5T4S7	9606.ENSP00000364403
Q9BPX5	9606.ENSP00000345361
Q9Y2S7	9606.ENSP00000475924
Q9NPD3	9606.ENSP00000315476
O43592	9606.ENSP00000327821
Q9NQW7	9606.ENSP00000421566
Q9NR50	9606.ENSP00000353575
Q8N0U8	9606.ENSP00000403077
P49589	9606.ENSP00000369897
Q9BQB6	9606.ENSP00000378426
Q8IY18	9606.ENSP00000354957
Q5TDH0	9606.ENSP00000417748
Q14232	9606.ENSP00000416250
Q52LW3	9606.ENSP00000260526
P19971	9606.ENSP00000379038
P30405	9606.ENSP00000225174
P19474	9606.ENSP00000254436
Q66K74	9606.ENSP00000325313
Q8N999	9606.ENSP00000349358
O94776	9606.ENSP00000278823
O60831	9606.ENSP00000451962
Q9BRX2	9606.ENSP00000274311
O14920	9606.ENSP00000430684
Q9Y3B8	9606.ENSP00000265881
P53621	9606.ENSP00000357048
P01034	9606.ENSP00000381448
Q9P2X3	9606.ENSP00000284202
P40967	9606.ENSP00000402758
O14617	9606.ENSP00000347416
Q2Q1W2	9606.ENSP00000373272
Q13247	9606.ENSP00000244020
Q96EQ0	9606.ENSP00000370395
Q8WVD3	9606.ENSP00000261593
P09914	9606.ENSP00000360869
P27361	9606.ENSP00000263025
Q9H583	9606.ENSP00000355541
P14927	9606.ENSP00000430494
Q9H8M7	9606.ENSP00000277632
O75376	9606.ENSP00000268712
Q7Z478	9606.ENSP00000251636
P50579	9606.ENSP00000325312
Q49A26	9606.ENSP00000322716
P50461	9606.ENSP00000431813
Q8NCG7	9606.ENSP00000297056
Q6NUQ4	9606.ENSP00000238788
P22061	9606.ENSP00000356354
P26447	9606.ENSP00000357705
P09455	9606.ENSP00000232219
Q9P107	9606.ENSP00000203556
P32926	9606.ENSP00000257189
P49137	9606.ENSP00000356070
Q15750	9606.ENSP00000216160
Q16352	9606.ENSP00000358865
P14550	9606.ENSP00000361140
Q04828	9606.ENSP00000370254
P38159	9606.ENSP00000359645
Q96GW9	9606.ENSP00000282276
Q96GA7	9606.ENSP00000385790
Q9UPT5	9606.ENSP00000334100
P12882	9606.ENSP00000226207
Q9Y2L9	9606.ENSP00000374447
P17655	9606.ENSP00000295006
Q9H8Y5	9606.ENSP00000321617
O75427	9606.ENSP00000309689
O95347	9606.ENSP00000286398
Q8TE67	9606.ENSP00000358820
Q8N3X1	9606.ENSP00000263773
Q93045	9606.ENSP00000429243
Q9NZ72	9606.ENSP00000359070
P20591	9606.ENSP00000381601
P42166	9606.ENSP00000266732
Q5VZK9	9606.ENSP00000331983
Q14671	9606.ENSP00000391723
P42695	9606.ENSP00000433681
P14543	9606.ENSP00000264187
Q9Y4R8	9606.ENSP00000262319
Q16881	9606.ENSP00000434516
Q13191	9606.ENSP00000264122
Q9H0U9	9606.ENSP00000357597
P49754	9606.ENSP00000309457
Q7Z3C6	9606.ENSP00000386710
Q14320	9606.ENSP00000377225
Q8IYB4	9606.ENSP00000419975
Q08170	9606.ENSP00000362900
Q9Y3A2	9606.ENSP00000362105
P49354	9606.ENSP00000303423
Q14919	9606.ENSP00000307850
P16885	9606.ENSP00000482457
Q9Y617	9606.ENSP00000365773
P50542	9606.ENSP00000391601
O43678	9606.ENSP00000252102
Q14687	9606.ENSP00000253458
Q8WX92	9606.ENSP00000339495
P15144	9606.ENSP00000300060
Q9BXY0	9606.ENSP00000353246
Q9Y2Z0	9606.ENSP00000367208
Q9NR45	9606.ENSP00000210444
Q9BQP7	9606.ENSP00000366939
Q96AQ6	9606.ENSP00000357448
P46940	9606.ENSP00000268182
Q9Y265	9606.ENSP00000318297
Q9BVI4	9606.ENSP00000328854
P43897	9606.ENSP00000313877
Q15022	9606.ENSP00000316578
Q8N122	9606.ENSP00000307272
Q96E39	9606.ENSP00000446099
P42330	9606.ENSP00000369927
Q9H5X1	9606.ENSP00000300030
Q9NQT4	9606.ENSP00000221233
P46108	9606.ENSP00000300574
Q9NYB9	9606.ENSP00000295851
Q92796	9606.ENSP00000363480
Q96EA4	9606.ENSP00000265295
P56937	9606.ENSP00000254521
Q15006	9606.ENSP00000220853
Q9H857	9606.ENSP00000406933
P02792	9606.ENSP00000366525
O43264	9606.ENSP00000200135
Q709F0	9606.ENSP00000264990
P17342	9606.ENSP00000265074
Q96T66	9606.ENSP00000340523
Q9H6Y7	9606.ENSP00000262482
O00459	9606.ENSP00000222254
P35813	9606.ENSP00000327255
P29084	9606.ENSP00000348168
O75688	9606.ENSP00000282412
O43172	9606.ENSP00000363313
Q86SJ2	9606.ENSP00000266581
P54727	9606.ENSP00000350708
P54725	9606.ENSP00000467024
O75390	9606.ENSP00000342056
O75600	9606.ENSP00000371110
Q96ER9	9606.ENSP00000379047
Q99574	9606.ENSP00000295777
Q8N335	9606.ENSP00000282541
Q13451	9606.ENSP00000444810
Q9UGR2	9606.ENSP00000345793
Q8NI36	9606.ENSP00000423067
Q5TC12	9606.ENSP00000460964
O43615	9606.ENSP00000270538
O15381	9606.ENSP00000281701
P52306	9606.ENSP00000340454
P30047	9606.ENSP00000260447
P07492	9606.ENSP00000256857
P15407	9606.ENSP00000310170
Q15646	9606.ENSP00000257570
Q15155	9606.ENSP00000287667
Q8WUP2	9606.ENSP00000416387
P12829	9606.ENSP00000347055
P27695	9606.ENSP00000216714
Q96CX6	9606.ENSP00000295628
Q7Z4W1	9606.ENSP00000303356
Q96B70	9606.ENSP00000479355
Q04721	9606.ENSP00000256646
P05976	9606.ENSP00000307280
Q9P2W9	9606.ENSP00000305810
O15540	9606.ENSP00000357429
P29762	9606.ENSP00000299529
Q2T9J0	9606.ENSP00000287078
A8K8P3	9606.ENSP00000383145
Q8IWT6	9606.ENSP00000259324
Q12959	9606.ENSP00000345731
Q15345	9606.ENSP00000477792
Q86W92	9606.ENSP00000314724
O14579	9606.ENSP00000262812
Q16401	9606.ENSP00000210313
Q9P2R7	9606.ENSP00000367923
Q9NRL3	9606.ENSP00000375777
Q92530	9606.ENSP00000338039
O75608	9606.ENSP00000320043
Q9Y5X3	9606.ENSP00000366998
Q8IZP0	9606.ENSP00000365312
Q13232	9606.ENSP00000219302
P52732	9606.ENSP00000260731
Q9H3P2	9606.ENSP00000372335
Q7LDG7	9606.ENSP00000338864
Q9Y5P6	9606.ENSP00000309092
Q9HC21	9606.ENSP00000385312
Q8N2F6	9606.ENSP00000319412
Q6NYC8	9606.ENSP00000274853
Q6P1L8	9606.ENSP00000361084
P15559	9606.ENSP00000319788
Q9UH62	9606.ENSP00000340672
Q05519	9606.ENSP00000359988
P19388	9606.ENSP00000478303
Q9BVL2	9606.ENSP00000371155
P30050	9606.ENSP00000354739
P12429	9606.ENSP00000264908
Q9H009	9606.ENSP00000427802
P16152	9606.ENSP00000290349
Q5C9Z4	9606.ENSP00000275820
Q93063	9606.ENSP00000379032
Q9H3U5	9606.ENSP00000403117
Q9BWD3	9606.ENSP00000375267
Q9UJ72	9606.ENSP00000352248
P57088	9606.ENSP00000422473
Q9NP81	9606.ENSP00000472847
Q6Q4G3	9606.ENSP00000350541
P08138	9606.ENSP00000172229
Q9NYH9	9606.ENSP00000261708
Q5VZL5	9606.ENSP00000322915
Q14258	9606.ENSP00000323889
Q96CB8	9606.ENSP00000415433
Q9BXF6	9606.ENSP00000258098
P20749	9606.ENSP00000164227
Q5VT52	9606.ENSP00000358064
P49366	9606.ENSP00000210060
P42771	9606.ENSP00000418915
Q96EK5	9606.ENSP00000354848
O75935	9606.ENSP00000259632
Q96L46	9606.ENSP00000400882
Q9BY32	9606.ENSP00000369456
P13639	9606.ENSP00000307940
P40222	9606.ENSP00000362711
Q9UL68	9606.ENSP00000396103
Q16775	9606.ENSP00000380514
Q9UBC2	9606.ENSP00000393313
P07900	9606.ENSP00000335153
O60488	9606.ENSP00000339787
O75832	9606.ENSP00000217958
Q6WKZ4	9606.ENSP00000331342
P35250	9606.ENSP00000055077
Q9NPQ8	9606.ENSP00000325941
O75063	9606.ENSP00000263733
P42224	9606.ENSP00000354394
P21549	9606.ENSP00000302620
Q8N2G8	9606.ENSP00000301671
P49427	9606.ENSP00000215574
Q5SY16	9606.ENSP00000366934
P49795	9606.ENSP00000378483
P02452	9606.ENSP00000225964
Q01101	9606.ENSP00000312631
O60315	9606.ENSP00000454157
B0I1T2	9606.ENSP00000258787
Q9H2W6	9606.ENSP00000312311
Q969I3	9606.ENSP00000300079
Q9NVH0	9606.ENSP00000313140
Q15043	9606.ENSP00000352779
Q96GM8	9606.ENSP00000361162
Q7Z7M9	9606.ENSP00000259056
Q9P0J1	9606.ENSP00000379503
Q15906	9606.ENSP00000346464
Q6IAN0	9606.ENSP00000378887
O75127	9606.ENSP00000292478
P06280	9606.ENSP00000218516
Q9NUQ8	9606.ENSP00000411471
Q9NUQ3	9606.ENSP00000369465
P04920	9606.ENSP00000419412
P06865	9606.ENSP00000268097
Q96T60	9606.ENSP00000323511
Q6P1M3	9606.ENSP00000376333
Q9NRG1	9606.ENSP00000318602
Q10588	9606.ENSP00000265016
Q5T2T1	9606.ENSP00000337907
Q9UM22	9606.ENSP00000199448
Q9NY61	9606.ENSP00000477848
Q86UV5	9606.ENSP00000309262
Q9Y6I8	9606.ENSP00000386385
Q70J99	9606.ENSP00000207549
Q9Y5B6	9606.ENSP00000328992
Q9H2K0	9606.ENSP00000370508
O95870	9606.ENSP00000379282
Q9GZT8	9606.ENSP00000386394
O43776	9606.ENSP00000256854
P05107	9606.ENSP00000380948
P14635	9606.ENSP00000256442
Q6IAA8	9606.ENSP00000278671
Q8IWR0	9606.ENSP00000379773
P40937	9606.ENSP00000408295
Q8IX01	9606.ENSP00000472286
P43246	9606.ENSP00000233146
Q14746	9606.ENSP00000355629
Q8IVL6	9606.ENSP00000478600
P55010	9606.ENSP00000216554
Q9H330	9606.ENSP00000363714
P05109	9606.ENSP00000357722
O95551	9606.ENSP00000367440
Q8WWQ0	9606.ENSP00000275034
P30044	9606.ENSP00000265462
Q0VDG4	9606.ENSP00000272732
Q9H6W3	9606.ENSP00000477507
O43516	9606.ENSP00000376330
P23743	9606.ENSP00000328405
Q9UG01	9606.ENSP00000260570
Q14005	9606.ENSP00000302935
Q6SZW1	9606.ENSP00000468032
P08833	9606.ENSP00000275525
O14498	9606.ENSP00000249842
Q6ZXV5	9606.ENSP00000266712
A6NKG5	9606.ENSP00000435342
Q5W0Z9	9606.ENSP00000371905
P27816	9606.ENSP00000353375
Q16740	9606.ENSP00000245816
Q5SSJ5	9606.ENSP00000312625
Q9ULW0	9606.ENSP00000300403
Q96IF1	9606.ENSP00000262713
P04637	9606.ENSP00000269305
Q96DZ1	9606.ENSP00000185150
O43488	9606.ENSP00000235835
Q16512	9606.ENSP00000343325
Q8IWL3	9606.ENSP00000216027
Q8NBJ5	9606.ENSP00000252599
P09972	9606.ENSP00000226253
Q9UMS4	9606.ENSP00000227524
Q96P16	9606.ENSP00000381984
Q9NQG5	9606.ENSP00000362532
Q9NQ48	9606.ENSP00000296135
Q9NV70	9606.ENSP00000370695
Q96BZ8	9606.ENSP00000222224
Q9NQS1	9606.ENSP00000306822
Q7L590	9606.ENSP00000418268
Q9BWU0	9606.ENSP00000479964
Q7Z5K2	9606.ENSP00000298767
P63010	9606.ENSP00000482835
P11802	9606.ENSP00000257904
Q14C86	9606.ENSP00000377664
Q6DKK2	9606.ENSP00000261647
Q6N069	9606.ENSP00000368716
Q9BZD4	9606.ENSP00000271452
P04062	9606.ENSP00000314508
O43663	9606.ENSP00000377793
Q13485	9606.ENSP00000341551
Q8WTW3	9606.ENSP00000299886
Q9H061	9606.ENSP00000306887
P83110	9606.ENSP00000303766
Q12802	9606.ENSP00000354718
P43155	9606.ENSP00000315013
Q96GS4	9606.ENSP00000373669
Q14CX7	9606.ENSP00000261745
Q96SL4	9606.ENSP00000354677
Q9BW60	9606.ENSP00000477602
O00425	9606.ENSP00000258729
Q13618	9606.ENSP00000264414
Q8NI60	9606.ENSP00000355741
Q9BTT6	9606.ENSP00000359925
Q92552	9606.ENSP00000426941
Q3SXM5	9606.ENSP00000219439
O96017	9606.ENSP00000372023
O60826	9606.ENSP00000365401
P52298	9606.ENSP00000326806
P61978	9606.ENSP00000365439
O60678	9606.ENSP00000331879
O00268	9606.ENSP00000252996
Q96HA7	9606.ENSP00000386239
Q15797	9606.ENSP00000426568
O60443	9606.ENSP00000339587
Q9Y4G6	9606.ENSP00000453508
P34896	9606.ENSP00000318868
P28331	9606.ENSP00000392709
Q96Q89	9606.ENSP00000360793
Q9P246	9606.ENSP00000417569
Q8WUD6	9606.ENSP00000229266
Q92791	9606.ENSP00000347649
Q9Y450	9606.ENSP00000356811
Q8N6M0	9606.ENSP00000285420
P16070	9606.ENSP00000398632
P51991	9606.ENSP00000376309
Q86UU1	9606.ENSP00000354498
Q5JTH9	9606.ENSP00000446184
Q5T7N3	9606.ENSP00000360195
P22626	9606.ENSP00000346694
Q9BPX3	9606.ENSP00000251496
Q99717	9606.ENSP00000441954
Q8NEJ9	9606.ENSP00000386134
Q9Y2V7	9606.ENSP00000397441
P49685	9606.ENSP00000284311
P62937	9606.ENSP00000419425
Q9HD42	9606.ENSP00000380998
P57772	9606.ENSP00000254730
O75592	9606.ENSP00000444596
P53365	9606.ENSP00000484121
Q9BVQ7	9606.ENSP00000305494
Q86W50	9606.ENSP00000263092
Q8WVM8	9606.ENSP00000390783
P28676	9606.ENSP00000394842
P30626	9606.ENSP00000265729
O43824	9606.ENSP00000316598
O95208	9606.ENSP00000320543
Q9H201	9606.ENSP00000268933
Q9UBQ5	9606.ENSP00000248342
Q96FJ0	9606.ENSP00000360994
O94919	9606.ENSP00000278505
Q53HC9	9606.ENSP00000371559
O95229	9606.ENSP00000363055
P04843	9606.ENSP00000296255
