label,Iso_map,,,RandomTrees,,,t_SNE,,,IsomapClustering,Random_TreesClustering,t-SNEClustering,LouvainClustering
8548,-0.94563,-0.4968,-0.08692,13.41606,-3.2513,-1.36529,58.49196,-39.58014,57.35556,3,1,1,6
8549,-0.8996,-0.27632,-0.12002,13.23448,-3.27395,-1.54665,31.78422,-14.8275,44.77188,3,3,1,6
8550,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,2.48193,23.41403,36.71742,2,2,2,2
8551,-0.48065,-0.29396,-0.04163,13.53523,-2.70848,-0.89936,171.46529,-250.88808,-144.615,2,1,1,5
8552,-0.76569,-0.3972,0.11604,13.07862,-2.34212,-0.07726,12.40399,1.5378,18.59608,1,1,1,1
8553,-0.65047,-0.071,-0.24264,13.19188,-2.36118,0.01556,23.46954,-9.41598,-15.94309,3,1,1,2
8554,-1.03242,0.09908,-0.35464,11.55159,-0.70518,1.31947,-39.76964,27.05728,65.89188,1,1,1,6
8555,-0.97538,-0.1144,-0.19231,12.1986,-1.30975,1.13329,3.28043,-55.77445,-22.69635,1,1,1,2
8556,-0.82937,-0.28963,-0.10739,13.17717,-3.27941,-1.5214,23.13572,-13.56976,56.12855,3,3,1,6
8557,-0.90971,-0.30475,-0.55764,12.69583,-2.41673,-0.01387,-5.80843,-84.2167,4.69165,1,1,1,2
8558,-0.85077,0.09172,-0.25482,12.3207,-1.91053,1.89863,32.3662,-31.19122,-3.13641,1,1,1,1
8559,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,12.945,2.09868,40.72513,2,2,1,2
8560,-0.59679,-0.18476,-0.1834,13.27558,-2.26783,0.00467,19.67507,-33.29378,-13.76599,1,1,1,2
8561,-1.09362,0.0249,-0.29448,12.278,-1.99637,1.17492,36.92705,-47.02232,-11.42459,1,1,1,6
8562,-0.57243,-0.30425,-0.03604,13.52524,-3.17253,-1.32358,-47.10756,-57.4151,20.75276,2,1,1,2
8563,-1.04313,0.07039,-0.37073,12.81338,-1.59821,1.42877,-25.22035,20.8039,80.42425,1,1,1,6
8564,-0.80446,-0.03737,-0.37099,12.98193,-1.73363,0.60609,-14.84385,0.79048,74.99301,1,1,1,2
8565,-0.86011,-0.18273,-0.15721,12.77006,-2.11735,0.7044,34.83293,-31.90338,17.31486,3,1,1,6
8566,-1.09167,-0.2599,-0.40285,13.06323,-2.10496,0.25222,-40.33159,-2.40996,75.7701,1,1,1,2
8567,-0.50873,-0.25615,-0.08485,13.37446,-2.57386,-0.62167,-21.864,-67.26058,18.91982,2,1,1,2
8568,-0.90927,-0.03195,-0.16874,12.20739,-0.91199,2.22109,15.35138,-68.42906,-56.28524,1,1,1,1
8569,-0.77832,-0.06489,-0.15411,12.75452,-1.37246,1.36405,59.78262,-12.72134,129.77559,3,1,1,5
8570,-0.94501,-0.17792,-0.38685,12.96572,-2.09857,0.32204,0.35171,-63.94837,5.55485,1,1,1,2
8571,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,26.77768,-53.98966,-29.16617,2,2,1,2
8572,-1.10748,0.20023,-0.37062,12.11698,-0.78335,2.72412,-55.63196,70.3836,-16.95583,1,1,1,6
8573,-1.05182,0.19236,-0.49683,11.89521,-1.20897,2.16892,36.08977,-55.72529,-52.02122,1,1,1,6
8574,-1.03422,-0.10157,-0.47496,12.23348,-1.20973,1.73733,19.21434,-75.76584,-15.05641,1,1,1,2
8575,-0.72507,-0.37015,-0.06743,13.29922,-3.19021,-1.41632,51.94671,-14.12941,34.09721,3,1,1,2
8576,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,-2.0509,28.47744,66.39844,2,2,1,5
8577,-0.90225,-0.20527,-0.26676,13.18471,-2.84943,-0.8377,47.45532,-27.82167,-23.16096,3,1,1,6
8578,-0.77296,-0.12459,-0.18885,12.73142,-1.71211,0.98881,14.68626,-56.01713,-8.67685,3,1,1,4
8579,-0.73605,-0.15266,-0.21486,13.18188,-1.8988,0.86262,28.50069,72.46302,-28.38843,3,1,1,2
8580,-1.13626,-0.08067,-0.38907,12.2409,-1.49467,1.63237,41.51266,-72.63449,-20.2477,1,1,1,2
8581,-0.79892,-0.22045,-0.22855,13.12875,-2.10872,0.46446,52.01571,-27.17623,-47.58255,3,1,1,2
8582,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,22.16848,15.12824,32.17871,2,2,1,6
8583,-1.14085,-0.50101,-0.23974,11.87966,-2.09672,1.16502,52.21395,-39.63987,4.20691,3,1,1,6
8584,-0.56589,-0.28848,-0.05548,13.49326,-3.09207,-1.07997,22.0051,-13.13702,2.21193,2,1,1,2
8585,-1.04754,-0.45036,-0.16337,12.13863,-1.85407,1.41877,49.25982,-71.06428,-2.45347,3,1,1,2
8586,-0.87896,-0.45935,-0.07431,13.31518,-3.44663,-1.73902,74.43392,-5.86187,44.16482,3,1,1,6
8587,-1.03245,-0.50444,-0.20805,11.99413,-1.80641,1.63802,49.29886,-57.68552,8.05399,3,1,1,2
8588,-1.17433,-0.6005,-0.12418,13.22042,-3.21911,-1.82225,69.2759,39.80303,-5.58459,3,1,1,6
8589,-0.58539,-0.33094,-0.0266,13.54329,-3.39202,-1.72803,5.62426,4.02515,59.93421,2,2,2,6
8590,-0.93078,-0.50068,-0.15767,12.37911,-2.33982,0.95088,41.03526,-59.69216,18.78047,3,1,1,2
8591,-0.85332,-0.41416,-0.09235,12.66534,-2.93709,-0.65571,69.92638,-5.89492,-8.68778,3,1,1,1
8592,-0.90957,-0.37679,-0.12362,13.16459,-2.87793,-0.96436,70.2758,-14.53158,9.29527,3,1,1,2
8593,-0.77206,-0.3578,-0.02711,12.86635,-2.74861,-0.42373,60.19988,7.87546,28.47171,3,1,1,5
8594,-0.70937,-0.35947,-0.04451,13.33188,-3.25141,-1.33535,15.49349,-27.64314,38.99608,3,1,1,1
