label,Iso_map,,,Random_Trees,,,t_sne,,,IsomapClustering,Random_TreesClustering,SpectralClustering,tSNEClustering,LouvainClustering
3435,-8.37471,-3.60146,-20.05626,13.9296,-0.082,0.02951,-4.55982,-5.87949,-2.68342,3,2,2,1,5
927,-3.20354,-1.82929,-7.06187,14.07178,-0.07684,0.13907,-4.8039,0.87819,4.88938,1,2,1,11,5
1920,-1.11896,-1.1337,-1.95946,14.06969,-0.09208,-0.05548,4.77143,-3.35903,0.80438,3,2,2,1,5
980,-9.86883,-4.12837,-23.92439,13.85891,-0.05381,0.02799,-10.02758,-16.58994,-1.99782,2,2,2,2,4
5683,2.41802,-0.04989,5.95577,14.07065,-0.09594,0.01813,-3.70001,6.87739,1.83183,3,2,1,1,5
5334,0.31771,-0.65929,1.52395,13.93234,0.40894,-0.33789,-2.30531,-7.19968,-7.82516,1,2,2,1,6
3417,-7.39107,-17.07258,33.2021,13.79512,0.09569,0.44422,12.60804,4.78609,0.23835,3,2,2,1,2
2950,-3.35561,-1.88041,-7.43668,13.92947,-0.09153,-0.00942,0.4159,2.48141,3.02241,2,2,2,2,5
4373,0.64398,-0.55205,2.31192,13.92961,-0.08841,-0.1292,-12.61823,-14.25927,0.28556,3,2,2,1,5
4243,-1.39555,-1.22547,-2.63295,14.06984,-0.09041,-0.06839,9.68688,10.27328,-15.36664,3,2,1,1,5
4409,84.27522,-0.07963,-17.71881,13.93104,-0.11143,-0.28927,2.19537,-5.36073,12.73126,3,2,2,2,3
632,0.87121,0.01609,-0.57388,14.06985,-0.0904,-0.07657,12.73804,1.92925,-2.63045,3,2,1,1,5
5379,2.33337,-0.02726,6.31158,14.14056,-0.07877,-0.05902,-9.00053,7.49081,-7.55547,3,2,1,1,6
6518,-7.13193,-3.08168,-17.3385,13.99908,-0.08545,-0.09701,-6.67383,9.77649,-3.87594,3,2,2,1,5
4459,-0.58561,-0.96143,-0.60418,13.99863,-0.10829,-0.09714,-1.09295,13.29438,-6.40843,3,2,1,1,3
1619,1.2604,-0.34991,3.79781,14.14056,-0.07877,-0.05902,-0.22835,-6.12725,0.9165,3,2,1,1,5
2445,0.7763,-0.50861,2.63116,14.0698,-0.09413,-0.1012,-9.8045,-13.67056,8.17358,3,2,2,2,6
3414,-17.2686,-6.78323,-44.07479,13.725,-0.05179,0.29332,-6.80722,5.12972,-9.95043,3,2,2,1,5
6651,-3.55263,-1.94671,-7.92282,13.93242,-0.09684,0.30469,16.22983,-2.40738,-7.34981,3,2,2,1,2
5612,1.55019,-0.25508,4.49519,13.85701,-0.14215,-0.13784,1.94268,-4.09582,1.53847,1,2,2,1,5
6065,-0.18618,-0.82526,0.30489,14.14056,-0.07877,-0.05902,-5.77,-0.44258,9.06962,1,2,2,1,3
7633,-4.04505,-2.12701,-9.07484,13.99952,-0.09507,-0.10574,-8.99027,7.4841,-7.54693,1,2,2,1,6
2002,3.42607,0.35604,8.99461,14.07413,0.03047,0.379,9.03611,-2.64296,-0.18182,3,2,2,1,5
1738,-4.1529,-2.1493,-9.40808,13.85929,-0.09394,-0.15226,8.98348,-1.6093,-2.40068,1,2,2,1,4
3673,2.08582,-0.08012,5.78239,14.07039,-0.10136,-0.11327,-3.9791,1.2556,21.11693,3,2,2,1,6
257,-3.31095,-1.86539,-7.32657,13.9313,-0.07321,0.12789,13.94464,-5.61787,-8.58516,3,2,1,1,5
3727,-10.68964,42.0478,-23.68589,13.85801,-0.07284,-0.21986,8.87928,-0.81669,-9.61895,2,2,2,2,3
932,-8.96693,-3.80943,-21.58252,13.9336,-0.10084,-0.04688,-16.03265,-1.61133,-4.07018,3,2,2,1,5
233,-15.50243,-6.18861,-39.10219,14.00111,-0.04628,-0.11261,-6.80329,-6.87604,2.28256,3,2,2,1,4
5344,-13.799,-5.31838,-36.30909,13.72597,0.11293,0.8726,12.11521,5.36905,3.714,3,2,2,2,5
221,0.2399,-0.68489,1.33588,14.07076,-0.09583,-0.01489,2.39477,-2.90753,0.87726,2,2,2,2,6
4268,-0.87653,-1.05338,-1.36997,14.00014,-0.12051,-0.20975,-13.97557,16.60291,4.96445,1,2,2,1,5
5825,-0.02948,-0.7736,0.68429,13.93104,-0.0347,0.24348,-6.98416,-0.43754,1.50442,3,2,2,1,5
7915,0.6353,7.79485,0.39155,14.07115,-0.07496,-0.06703,11.0712,-10.66361,-8.59771,3,2,2,2,5
7219,-13.78811,-5.5484,-34.37447,13.93449,-0.12515,-0.5032,-5.31089,-0.91461,-8.90261,3,2,2,1,3
3692,0.82099,-0.49395,2.73896,13.86338,0.39504,-0.35494,5.27338,-8.9175,-15.56117,3,2,2,2,6
5269,86.01966,0.18068,-19.15893,13.93331,-0.13908,-0.54474,2.6935,-4.6906,12.4017,3,2,2,1,3
8056,0.627,-0.55763,2.27093,14.06934,-0.09665,-0.07959,-0.16873,3.10004,2.08393,3,2,1,1,6
556,-6.48973,-2.94681,-15.25469,13.9317,-0.05478,0.21132,8.23588,-2.49031,-15.03493,3,2,2,2,5
5922,1.62715,-0.22992,4.68028,14.07142,-0.07542,-0.12968,15.40812,-15.28748,-0.72418,3,2,2,2,5
4079,-6.4156,-2.92128,-15.06752,13.86318,-0.12112,-0.46483,-14.93912,-4.94285,16.72334,1,2,1,9,3
7952,-1.42987,30.28885,-0.45355,14.14056,-0.07877,-0.05902,9.95128,-3.31785,-9.49323,1,2,2,13,6
4760,-2.75212,-1.67786,-5.95147,14.14056,-0.07877,-0.05902,4.74314,0.94781,8.2869,1,2,2,2,3
1281,-3.81901,-2.03651,-8.58117,13.92904,-0.13876,-0.10135,13.16644,12.78652,-13.05026,3,2,1,1,5
865,4.72853,0.778,12.10753,14.14056,-0.07877,-0.05902,5.70962,1.52383,-2.52503,3,2,1,1,5
1057,-20.58914,10.7591,-52.19429,13.72616,-0.15462,-0.90616,9.17882,12.524,1.23702,3,2,1,1,3
8310,-5.48303,-2.59351,-13.13845,14.14056,-0.07877,-0.05902,-5.35104,8.01604,8.88791,3,2,1,1,3
1085,4.49387,0.7021,11.54714,14.14056,-0.07877,-0.05902,-4.55496,21.50116,9.09055,1,2,1,2,3
266,-7.18804,-3.18808,-17.02388,14.00003,-0.10418,-0.07799,1.10502,4.4061,5.51103,9,2,2,1,3
1553,-4.54216,-2.28115,-10.37466,13.85931,-0.12115,0.02159,16.87896,9.23931,12.15839,3,2,2,2,5
7692,-9.3292,-3.93721,-22.52061,13.86459,-0.07577,-0.27657,-0.20351,-2.90176,9.60939,3,2,1,1,3
4265,-2.77699,-1.68619,-6.01256,13.71602,-0.05835,0.20563,1.8774,21.05838,-2.37015,1,2,2,1,6
4770,-5.02864,-2.44647,-11.58656,13.93123,-0.01383,0.25288,-2.82762,-1.00944,5.16285,1,2,2,1,5
7513,1.15833,-0.38334,3.55201,14.06984,-0.09041,-0.06839,9.47524,-1.37186,15.70197,3,2,2,1,6
5175,-0.50935,-0.93194,-0.47846,14.14056,-0.07877,-0.05902,-10.49334,13.90956,-2.04579,2,2,2,2,5
4238,-10.72302,-4.43302,-26.16282,13.5165,0.30358,-0.72625,0.29039,12.46525,14.97742,3,2,2,1,3
1610,-6.74119,-3.03353,-15.89052,13.93073,-0.07197,0.04117,-11.59866,-7.97377,10.25755,3,2,2,1,5
1823,-2.9249,-1.73576,-6.37609,14.00103,-0.1061,-0.18058,-4.7649,3.83869,6.75672,3,2,2,1,5
2567,7.02061,-19.13917,12.32664,13.99883,-0.0815,-0.04443,6.91454,-1.28894,9.06841,3,2,1,1,2
5406,2.42786,0.0314,6.60325,14.00426,-0.04024,-0.25307,-8.14543,-0.69427,5.20571,1,2,2,2,3
4495,1.28375,-0.34227,3.85402,14.14056,-0.07877,-0.05902,5.19489,3.93755,2.79412,3,2,1,1,3
770,-6.75889,-3.03964,-15.93534,13.93348,-0.15013,-0.18641,1.74631,5.24305,1.72027,1,2,2,1,5
2020,-4.61028,-2.30426,-10.54409,13.99936,-0.1002,-0.04349,13.57581,0.48974,-12.44704,3,2,2,1,5
6950,3.68767,0.44093,9.62041,14.14056,-0.07877,-0.05902,4.7217,-11.42132,-17.81338,3,2,2,1,6
3550,-9.11883,-3.86295,-21.97544,14.07042,-0.09191,-0.04945,-8.35688,7.55336,16.12585,2,2,2,2,5
5682,-0.77586,-1.02006,-1.12538,13.86236,-0.08395,0.12788,20.41763,-0.67914,0.61636,2,2,2,2,5
3921,-7.51574,-3.3018,-17.85794,13.72081,0.41057,-0.34116,-13.82853,9.65683,-16.13846,3,2,1,1,6
3555,2.09888,-0.02152,5.12031,14.07142,-0.07542,-0.12968,-3.85761,1.32366,-6.74497,3,2,1,1,5
2050,20.18008,10.7774,-54.201,13.78732,-0.14732,-0.21441,1.80306,-4.45236,13.62964,3,2,2,1,3
5445,-1.10173,-1.12799,-1.91756,14.00125,-0.11866,-0.20523,-10.07043,-13.21352,-10.19763,3,2,2,1,3
5702,-5.01151,-1.99792,-12.1996,13.86101,-0.08454,-0.11623,-6.4595,1.5405,-11.58584,3,2,2,2,3
5416,3.30126,0.31551,8.69593,14.14056,-0.07877,-0.05902,-4.80631,6.30086,16.37734,3,2,2,1,3
4845,0.94421,2.05013,-1.14123,14.14056,-0.07877,-0.05902,10.42048,7.02646,-5.01223,3,2,2,1,4
1440,-29.50818,-12.99196,-85.17296,13.30334,0.22812,0.99436,5.85595,4.68072,-9.47676,3,2,2,1,4
330,-2.50991,-1.5968,-5.357,13.93123,-0.05863,0.11231,6.22582,20.9312,-4.97767,1,2,2,1,5
1502,-3.66597,-1.9849,-8.2028,14.07081,-0.08532,-0.08142,-0.70187,-4.66516,-7.91028,3,2,2,1,3
5775,-7.00253,-3.12385,-16.55283,14.07279,-0.12325,-0.25062,-1.52492,-8.12267,-2.14231,3,2,2,2,3
2888,-15.91267,37.64035,-38.26639,13.79277,-0.10341,-0.32213,9.85404,-1.00546,-10.61912,3,2,2,1,3
1132,-34.72623,49.42048,-85.64221,13.30575,2.24599,-0.67305,-6.71104,1.26306,-11.52572,3,2,1,1,5
2728,-19.49212,-7.72913,-50.5334,13.44116,-0.12602,-0.35317,19.82383,-3.38399,-3.98993,3,2,2,1,4
7932,-0.7571,-1.01385,-1.0798,14.00086,-0.05858,0.0355,-8.11397,-16.41516,6.48704,3,2,1,1,3
5022,-2.22603,-1.5052,-4.59641,14.00053,-0.03566,0.17261,4.51721,14.87874,0.81423,8,2,2,16,2
1372,-17.2649,-6.9986,-44.69192,13.59129,0.09312,0.6119,4.13567,9.36056,1.91617,3,2,1,2,4
640,-9.34807,-3.62714,-23.23374,13.93045,-0.09421,0.03919,8.27959,10.48561,-1.27612,1,2,2,16,5
4501,1.81109,-0.16981,5.12244,14.00098,-0.09127,-0.08668,1.77336,15.17286,-17.12127,3,2,1,1,3
4574,-1.23558,-1.17237,-2.24331,13.79019,-0.07724,0.0913,0.04155,-2.51348,-7.26938,1,2,2,1,3
5860,0.10961,-0.72778,1.02082,14.07309,-0.09134,-0.35374,-6.0858,-18.94501,2.37753,1,2,2,13,5
5166,-1.55547,12.16063,-2.04406,14.14056,-0.07877,-0.05902,9.13849,-1.6305,-9.37603,2,2,2,2,3
5707,-3.46089,-1.91583,-7.69637,13.86465,0.09792,0.47159,-15.59304,11.40884,-10.09384,3,2,1,1,4
3599,-14.70027,-1.54056,-39.88756,13.79006,-0.16378,-0.48687,1.39644,11.96854,8.79476,2,2,2,2,3
3672,-22.69745,6.37252,-67.12435,13.5841,-0.16614,-0.4783,-1.94311,-12.18637,-8.39049,1,2,2,3,3
5204,-4.53408,-2.27841,-10.35456,13.86389,-0.07633,0.53157,3.69931,0.61956,-22.85009,3,2,1,1,2
5578,-11.14005,-4.5827,-27.26322,13.65204,-0.02935,0.23049,0.55584,-18.40341,-7.65258,3,2,2,1,5
8128,-5.54472,-2.62253,-12.87722,14.06998,-0.08866,-0.10704,14.19218,-11.72338,8.87646,3,2,2,1,3
3387,-8.03832,-3.26153,-20.65018,13.72152,-0.16221,-0.58547,13.21064,2.50109,-2.66554,1,2,2,1,3
8237,-3.17369,-1.81926,-6.98835,14.07095,-0.06854,0.05354,1.32796,4.71418,1.01454,3,2,2,1,2
1626,49.4141,-3.02548,-28.80095,14.06979,-0.08969,-0.06637,13.36217,-3.85744,-0.555,3,2,2,2,3
5479,0.35553,37.41008,4.0364,14.07034,-0.10077,-0.00739,7.46289,-10.6927,-5.40636,3,2,2,17,3
1560,-9.19839,-3.89102,-22.18148,14.07018,-0.10285,-0.1119,3.72173,15.43473,5.61637,1,2,2,1,3
4139,-13.61536,-5.48457,-33.90371,13.93164,-0.11784,-0.26264,0.42362,10.83716,3.24933,1,2,2,12,3
5026,-8.93205,-3.79715,-21.49238,13.72021,-0.05801,0.28587,-0.77111,23.3797,6.33553,3,2,2,1,4
7749,-2.87777,-1.71996,-6.26022,13.93204,-0.09017,-0.12989,-17.11096,10.84256,-12.34977,1,2,2,13,5
2315,-12.11001,-5.03488,-30.4505,13.86006,0.00282,0.21868,15.54376,-0.425,-1.35006,3,2,2,1,4
8210,-1.45683,-1.24583,-2.78232,13.85988,-0.16603,-0.20617,-1.71054,-2.03309,4.53598,2,2,2,2,3
5059,-10.58604,-4.384,-25.80249,13.78944,-0.16249,-0.20142,-5.27259,19.26222,-12.06024,3,2,1,1,3
777,-27.67738,-11.25936,-76.50301,13.51352,0.0987,1.17706,-7.76039,10.47788,-9.47742,3,2,1,2,4
549,-1.46683,-1.24915,-2.80669,14.00185,0.39332,-0.15987,-1.27756,17.44851,-14.7028,3,2,1,1,4
6124,-5.47731,-2.59949,-12.70836,13.85932,-0.09453,-0.02697,5.92777,11.61258,13.64713,3,2,2,1,5
4132,2.31906,-0.00405,6.34224,14.06972,-0.10076,-0.05766,-11.38211,-9.26239,12.54036,1,2,2,1,6
7820,7.96333,-11.72893,-74.05036,13.65259,-0.10878,-0.33401,2.61666,12.40991,-6.47037,1,2,2,1,4
2026,-3.79728,-2.02917,-8.52741,13.92958,-0.12921,-0.05029,7.58865,4.89776,-1.35728,3,2,2,2,5
5533,-11.99541,-4.8917,-29.53629,13.79505,0.03607,0.14125,-8.33318,-11.25786,11.33357,3,2,1,1,3
3293,-7.66114,-3.35236,-18.22881,13.93214,-0.04569,-0.23485,12.35904,18.92064,5.41201,3,2,1,2,6
2453,-15.11392,-6.04243,-38.02168,13.79666,0.13194,0.40682,0.45341,-1.36335,11.5081,1,2,2,9,4
1692,-2.23761,-1.50582,-4.68973,13.7921,-0.12134,-0.09734,0.30302,-2.91304,5.42799,3,2,1,1,3
6258,-3.3532,-2.3015,-4.84539,14.00026,-0.07837,-0.10333,-10.37137,-2.10353,9.62433,3,2,1,2,3
1882,-3.37687,-1.88756,-7.4891,13.79266,-0.09105,-0.33175,-13.9572,9.89644,7.96223,3,2,1,2,3
1906,-19.51605,-7.15249,-51.12751,13.58296,-0.1187,-0.33326,12.71388,8.45133,-1.45285,3,2,1,2,2
4147,-16.25365,-6.41021,-41.71067,13.58662,-0.01143,0.59001,-1.33614,11.27299,-2.16273,3,2,1,2,5
4840,3.98099,3.03968,-3.74851,14.07161,-0.06363,0.01006,-4.33284,-1.13739,2.45068,3,2,2,1,3
7942,-4.22717,-4.08866,-0.6269,13.99914,-0.08284,-0.04969,-13.10511,5.79877,-5.22185,3,2,1,1,5
1547,-16.777,-6.67279,-42.68608,13.85903,-0.05663,0.00332,18.69091,-3.07684,5.23021,3,2,1,2,2
3195,0.20907,-0.69504,1.26134,14.00406,-0.04314,-0.16386,5.13432,-2.38708,-3.83314,2,2,2,2,3
1939,-0.95541,-1.0795,-1.56169,14.14056,-0.07877,-0.05902,1.28533,-5.90732,-2.17698,1,2,2,1,3
3923,-3.3947,-1.89355,-7.53308,14.14056,-0.07877,-0.05902,1.79872,6.16573,-3.03361,3,2,1,1,6
4857,-4.17835,-2.16943,-9.39861,13.92954,-0.10034,-0.12794,1.44432,-5.80459,-11.43665,3,2,2,1,6
922,-1.81813,-1.52332,-4.59315,13.93029,-0.11001,-0.12795,-10.31121,10.02506,-5.20006,1,2,2,1,3
7195,-4.01177,-2.10159,-9.05833,13.7897,-0.09747,0.02584,-0.89102,-1.46305,10.22697,3,2,1,1,3
3039,-1.44086,-0.68066,-5.60986,13.93099,-0.06781,-0.08108,1.01064,3.5776,-10.80288,3,2,2,2,3
2018,73.63911,20.50012,-61.1704,13.51078,-0.10708,-0.67483,-13.14477,-0.67556,-6.59741,3,2,2,1,3
6016,-10.76876,-5.70995,-20.02313,13.93162,-0.13536,-0.19481,-13.00064,1.41286,4.75646,3,2,1,1,5
4513,-4.17333,-2.15621,-9.45875,13.86173,-0.10938,-0.05525,-2.8449,1.09323,4.8628,1,2,2,1,3
6141,-12.77166,-5.12889,-35.28912,13.50765,-0.17038,-0.50142,-7.93852,5.09163,3.35398,3,2,1,1,3
3138,-12.73831,-5.16231,-31.52872,13.7926,0.37676,-0.37453,-16.97761,7.9446,-8.09623,3,2,2,2,3
694,-8.98301,-12.08605,35.49059,14.00134,-0.10099,0.01377,-4.72185,-10.17829,7.87008,3,2,2,2,3
3398,-11.27863,-4.63258,-27.63,13.86331,-0.06727,-0.24214,9.7417,-1.79101,5.69978,3,2,1,2,3
259,-1.84296,-1.37425,-3.72454,13.92828,-0.12384,-0.15792,-0.21107,-0.80469,5.37035,3,2,2,2,3
4039,-9.84877,-4.12125,-23.87207,13.93236,-0.16923,-0.35985,-16.27822,-1.25905,-2.16677,3,2,2,1,3
1976,-6.50537,-3.93996,-11.51203,13.71778,-0.18432,-0.22903,-11.39497,-5.47509,4.06083,1,2,2,12,5
3112,-9.68855,-4.0644,-23.45454,13.85989,-0.08106,-0.24826,-1.57269,15.19662,6.99028,1,2,1,1,3
7666,-8.74408,-3.62518,-24.59606,13.71947,-0.11624,-0.27055,11.40204,1.98456,-7.5516,3,2,2,1,3
4761,4.04944,0.40903,9.50624,14.14056,-0.07877,-0.05902,5.52858,0.52971,-3.11486,3,2,2,1,3
2227,-14.72704,-6.05742,-36.65506,13.78818,-0.03086,-0.12884,0.44461,-6.26723,-6.88813,3,2,1,1,4
3688,-7.41022,-3.26515,-17.58911,14.07334,0.0609,0.43335,-15.70632,-12.98318,-2.13535,3,2,1,1,4
5720,-19.34049,-7.47904,-51.47017,13.72395,-0.1181,-0.37685,5.42335,-5.12947,-5.54334,3,2,1,1,3
4320,-4.61703,-2.30655,-10.56087,13.93091,-0.11241,0.15107,15.24784,15.22604,1.78024,3,2,1,1,2
5310,-2.49712,-1.59252,-5.32563,13.86402,-0.102,-0.29765,15.84197,-12.03858,5.53908,1,2,2,1,5
5845,-18.00319,-9.30505,-32.12372,13.7221,-0.14507,-0.36775,-11.52505,-6.74006,-6.95948,3,2,1,1,3
732,-3.95804,-2.08344,-8.92526,14.14056,-0.07877,-0.05902,9.852,5.27568,-1.87426,3,2,1,1,3
241,-17.85219,-7.08694,-45.75786,13.72386,-0.09348,0.07916,1.67475,-4.5335,0.37415,3,2,2,2,5
3984,-17.66835,-7.01575,-45.2294,13.58332,0.09415,0.62917,6.44383,2.04825,6.49592,3,2,1,1,4
5450,-0.64301,-0.97612,-0.8028,13.93195,-0.11083,-0.4395,-6.97929,1.34031,-3.65153,3,2,2,1,3
4781,-13.14822,25.57967,-31.53998,13.72419,-0.12262,-0.35853,-7.18078,8.90217,5.46518,3,2,2,1,3
3540,-2.00442,-1.42804,-4.11915,14.14056,-0.07877,-0.05902,0.83818,0.22911,-7.15867,2,2,2,2,2
6935,4.31922,0.64557,11.12996,13.99961,-0.07513,0.00173,4.12806,-5.98486,2.21037,3,2,2,1,4
5636,-2.48467,-1.58836,-5.2951,13.92988,-0.10048,-0.01457,-12.86206,11.41859,10.74649,3,2,2,1,3
6169,-0.72801,-1.00423,-1.00915,13.93414,0.01622,0.42535,-8.11244,7.17304,12.88686,3,2,1,1,5
482,-5.62394,-2.64962,-13.07582,14.07247,-0.07648,-0.15132,-4.72564,-3.4785,0.33835,3,2,1,2,3
4752,-21.78272,-8.64855,-57.39882,13.85887,-0.05882,0.06663,0.15062,17.2774,2.60077,3,2,1,2,4
7229,-21.61371,-11.6043,-48.80744,13.64765,-0.07265,0.18733,0.32701,-8.496,-12.23066,3,2,2,2,3
2940,-13.41976,-5.42266,-33.2678,14.00391,0.02114,0.1666,-3.97994,13.97212,2.89384,3,2,1,1,3
7543,-1.67019,-1.31675,-3.30271,14.0735,-0.04054,-0.26508,5.27551,1.11459,5.14492,3,2,2,1,6
1982,-12.63621,-5.125,-31.25386,13.85854,-0.14684,-0.20905,3.9856,-6.16074,-0.90868,3,2,1,1,3
1533,-36.98391,-164.1505,948.94612,12.95914,0.7984,1.21733,-2.12682,-9.21844,10.56259,3,2,1,1,2
4210,-1.69489,-1.32497,-3.36298,13.79674,0.55575,0.12265,-3.66681,-4.72876,2.1717,3,2,2,1,2
5259,-0.41832,-0.90187,-0.2577,14.14056,-0.07877,-0.05902,5.12603,8.78998,13.55035,3,2,1,1,6
7496,-10.30388,-4.28322,-25.06192,14.00246,-0.08896,-0.32444,-15.04254,-2.39661,9.57388,3,2,1,1,3
8222,-1.91961,-1.39978,-3.91185,14.06922,-0.0925,-0.07988,3.16572,-16.9751,-14.44974,3,2,2,1,3
4067,-17.0547,-6.77924,-43.4751,13.72077,-0.02321,0.37693,18.70758,-8.71417,-2.60087,3,2,2,1,2
5498,19.76144,8.23958,-57.2324,13.78996,-0.06043,0.27864,12.38371,-4.0258,-1.1793,3,2,1,1,4
2274,-5.00753,-2.42658,-11.64713,14.14056,-0.07877,-0.05902,3.73956,2.90064,-11.33542,3,2,2,2,3
3642,-3.99251,-2.09508,-9.01061,13.92931,-0.11987,-0.1171,-8.15754,4.47703,-16.65779,3,2,1,1,3
5117,-1.02431,-1.10232,-1.72921,13.93101,-0.05168,0.19157,6.98779,-6.00888,20.48827,3,2,2,2,6
554,-15.40434,-6.15164,-38.82886,13.44511,-0.01417,0.21036,2.43573,13.01346,10.87831,3,2,1,1,5
5633,-6.4318,-2.92686,-15.1084,13.8617,-0.08614,0.22055,10.1222,-8.0777,-18.56444,3,2,2,1,4
5486,-15.82292,-6.35651,-39.83326,13.86399,-0.06097,-0.46728,-9.13258,-4.16404,-9.69175,3,2,1,1,3
3753,-5.19085,-2.50173,-11.99167,13.93125,-0.06341,-0.11256,-3.10213,0.79782,5.73672,3,2,2,1,3
8249,2.95183,0.20196,7.85923,14.07138,-0.07706,0.0664,6.82922,-4.32672,0.30147,3,2,1,1,3
942,-7.10975,-3.16096,-16.82498,13.79198,-0.07972,-0.23334,-8.34485,-16.45257,-5.50542,3,2,2,1,3
2218,3.52944,0.38959,9.24195,14.06996,-0.10172,-0.09994,6.86265,15.18728,-15.87287,1,2,2,1,3
3581,-15.61181,-5.87267,-41.08668,13.8605,-0.11225,0.0946,12.69177,5.03387,3.90964,3,2,2,1,5
2181,-5.80523,9.9631,-12.59722,13.79659,2.32062,-0.65222,9.13849,-1.6305,-9.37603,3,2,1,1,5
3396,-9.4614,-3.98395,-22.86379,13.86375,0.07173,0.59509,-9.35673,-18.98013,-5.61486,3,2,1,1,4
1512,-7.98572,-3.46547,-19.05854,14.14056,-0.07877,-0.05902,6.28657,1.73499,21.46992,3,2,2,1,2
310,-12.36704,-5.02681,-30.53082,13.7954,0.0128,-0.37437,-3.53866,8.62641,16.25167,3,2,1,1,4
6930,-1.68793,-1.32265,-3.34601,14.07161,-0.06363,0.01006,4.71796,-6.6162,-15.66491,3,2,2,2,3
4607,-46.0661,70.20342,-121.71033,13.01665,-0.10535,-0.38239,-8.6751,-6.09282,-7.77242,4,2,2,1,3
921,-7.21593,-3.18532,-17.01264,14.00073,-0.12925,-0.25937,12.91222,-1.87697,2.23143,2,2,2,2,3
7463,-14.009,-5.63021,-34.97793,13.44832,0.00584,0.04857,-5.80379,3.71163,5.58082,3,2,2,1,3
3037,-7.6168,-3.33694,-18.11565,13.93008,-0.04815,0.11577,-9.39977,-8.0843,-10.98868,3,2,2,1,5
4404,0.00284,-0.76295,0.7625,14.14056,-0.07877,-0.05902,-4.75932,-1.87546,21.74922,3,2,1,1,3
6247,-11.8619,-4.91072,-32.28526,13.93244,-0.10528,-0.19439,9.43778,-10.30587,2.04951,3,2,1,2,3
5142,4.35149,0.65602,11.20706,14.06938,-0.09321,-0.0778,6.33025,-0.09327,-2.37699,2,2,2,2,4
7283,3.63827,0.4249,9.50226,14.07101,-0.04544,0.02593,7.70069,14.8916,16.30267,7,2,1,1,4
2468,0.76545,-0.51217,2.605,14.14056,-0.07877,-0.05902,6.35116,-17.25616,7.02592,3,2,2,2,4
1048,-3.88259,-2.05797,-8.73849,13.86534,-0.10204,-0.66322,1.00696,6.52293,-16.90824,3,2,1,2,3
180,-1.4701,-1.25023,-2.81465,14.00108,-0.1152,-0.118,-3.85979,2.32759,-2.53812,3,2,2,1,3
3867,-24.49218,-9.49717,-70.87505,13.43711,-0.13722,-0.31717,12.25078,2.23492,-3.9606,3,2,2,2,3
4233,-15.78473,-6.48596,-40.2253,13.86165,-0.15035,-0.20279,-2.185,-9.55365,-12.61895,1,2,2,1,3
7796,-11.8509,-4.83931,-29.15072,13.99922,-0.11715,-0.13125,-17.11117,-3.42436,10.42547,1,2,2,1,3
6499,-18.34574,-7.54772,-47.74578,13.93269,-0.13156,-0.30938,-2.91622,13.72172,-0.03233,3,2,2,1,3
2053,-0.51903,-0.93514,-0.50194,14.06929,-0.09225,-0.07342,-17.35913,2.67422,7.43682,3,2,2,1,5
5681,-9.6924,-4.06576,-23.46457,13.93018,-0.15426,-0.30028,2.32352,-2.1484,-9.75103,3,2,2,1,3
5953,0.91276,-0.46384,2.96024,14.06996,-0.10172,-0.09994,-1.11416,2.31811,3.52045,3,2,2,1,3
478,3.96963,0.53234,10.29456,14.07156,-0.01417,0.17241,-0.13348,-2.23297,2.82182,3,2,2,1,3
139,-8.01556,-3.47589,-19.13494,13.86416,-0.00776,0.08767,12.78601,15.50262,6.51531,3,2,2,1,5
6132,-14.18491,-5.6955,-35.45968,13.8588,-0.15312,-0.24631,0.79422,6.62925,-1.77727,3,2,2,1,3
2538,2.11905,-0.06927,5.86219,14.14056,-0.07877,-0.05902,-1.80481,-4.51987,-0.26415,3,2,1,1,6
4880,-3.44101,-1.90914,-7.64733,14.00175,-0.10731,-0.27876,-0.00812,15.70799,-15.46246,3,2,1,2,5
1246,-1.19243,-1.15806,-2.13826,13.93534,-0.0667,-0.57454,10.80636,1.97806,2.95387,2,2,2,2,3
2946,-8.28532,-3.57017,-19.82667,13.79211,-0.05774,-0.29338,4.82759,4.43736,6.37591,2,2,2,2,3
672,-6.86324,-3.07568,-16.19963,13.93119,-0.09479,0.17178,11.59386,5.01577,-12.3892,3,2,1,1,5
7344,-9.91448,-4.14459,-24.0435,13.795,-0.14435,-0.58975,-5.07531,6.28779,-2.16342,3,2,1,2,3
4955,-7.87488,-2.95046,-17.08296,14.14056,-0.07877,-0.05902,-11.70279,3.22101,-1.95577,3,2,1,1,5
1460,28.56085,31.00261,-57.23572,13.72126,-0.1264,-0.21562,1.4442,-5.30031,12.31192,3,2,2,2,3
8120,1.06312,-0.41454,3.32263,13.99837,-0.10763,-0.07686,-2.45111,9.96114,-0.13914,1,2,2,1,3
3020,-12.3111,17.527,-28.7279,13.86388,0.07491,0.29339,7.51909,-0.22164,-9.4193,1,2,2,17,3
2672,-4.86741,-2.39161,-11.18442,13.93206,0.00192,-0.03944,13.60953,8.06979,11.44381,3,2,2,1,4
1340,-14.08481,-5.61062,-38.78476,13.72609,-0.17982,-0.54395,-8.25835,5.97677,3.97166,3,2,1,1,3
5938,-11.71273,-8.19531,-14.53751,13.72902,2.41601,-0.00429,-11.35469,-6.51943,2.58981,3,2,2,1,2
